service_id,date,exception_type
C22094ASZPÁ-0041,20221112,1
C22094ASZPÁ-0041,20221119,1
C22094ASZPÁ-0041,20221126,1
C22095AVVPÁ-0041,20221030,1
C22095AVVPÁ-0041,20221101,1
C22095AVVPÁ-0041,20221106,1
C22095AVVPÁ-0041,20221113,1
C22095AVVPÁ-0041,20221120,1
C22095AVVPÁ-0041,20221127,1
C22394ASZYM-0011,20221105,1
C22394ASZYM-0011,20221112,1
C22395AVVYM-0011,20221106,1
C22395AVVYM-0011,20221113,1
C23867AHCKMK-011,20221102,1
C23867AHCKMK-011,20221103,1
C23867AHCKMK-011,20221107,1
C23867AHCKMK-011,20221108,1
C23867AHCKMK-011,20221109,1
C23867AHCKMK-011,20221110,1
C23867AHCKMK-011,20221114,1
C23867AHCKMK-011,20221115,1
C23867AHCKMK-011,20221116,1
C23867AHCKMK-011,20221117,1
C23867AHCKMK-011,20221121,1
C23867AHCKMK-011,20221122,1
C23867AHCKMK-011,20221123,1
C23867AHCKMK-011,20221124,1
C23867AHCKMK-011,20221128,1
C23867AHCKMK-011,20221129,1
C23867AHCKMK-011,20221130,1
C23867AHCKMK-011,20221201,1
C23868APPKMK-011,20221104,1
C23868APPKMK-011,20221111,1
C23868APPKMK-011,20221118,1
C23868APPKMK-011,20221125,1
C23869ASZKMK-011,20221031,1
C23869ASZKMK-011,20221119,1
C23869ASZKMK-011,20221126,1
C23870AVVKMK-011,20221030,1
C23870AVVKMK-011,20221101,1
C23870AVVKMK-011,20221127,1
C24789AHPCsZ-011,20221102,1
C24789AHPCsZ-011,20221103,1
C24789AHPCsZ-011,20221104,1
C24789AHPCsZ-011,20221107,1
C24789AHPCsZ-011,20221108,1
C24789AHPCsZ-011,20221109,1
C24789AHPCsZ-011,20221110,1
C24789AHPCsZ-011,20221111,1
C24789AHPCsZ-011,20221114,1
C24789AHPCsZ-011,20221115,1
C24789AHPCsZ-011,20221116,1
C24789AHPCsZ-011,20221117,1
C24789AHPCsZ-011,20221118,1
C24789AHPCsZ-011,20221121,1
C24789AHPCsZ-011,20221122,1
C24789AHPCsZ-011,20221123,1
C24789AHPCsZ-011,20221124,1
C24789AHPCsZ-011,20221125,1
C24789AHPCsZ-011,20221128,1
C24789AHPCsZ-011,20221129,1
C24789AHPCsZ-011,20221130,1
C24789AHPCsZ-011,20221201,1
C24794AHPMG-0011,20221102,1
C24794AHPMG-0011,20221103,1
C24794AHPMG-0011,20221104,1
C24794AHPMG-0011,20221107,1
C24794AHPMG-0011,20221108,1
C24794AHPMG-0011,20221109,1
C24794AHPMG-0011,20221110,1
C24794AHPMG-0011,20221111,1
C24794AHPMG-0011,20221114,1
C24794AHPMG-0011,20221115,1
C24794AHPMG-0011,20221116,1
C24794AHPMG-0011,20221117,1
C24794AHPMG-0011,20221118,1
C24794AHPMG-0011,20221121,1
C24794AHPMG-0011,20221122,1
C24794AHPMG-0011,20221123,1
C24794AHPMG-0011,20221124,1
C24794AHPMG-0011,20221125,1
C24794AHPMG-0011,20221128,1
C24794AHPMG-0011,20221129,1
C24794AHPMG-0011,20221130,1
C24794AHPMG-0011,20221201,1
C27963AHCKMK-011,20221102,1
C27963AHCKMK-011,20221103,1
C27963AHCKMK-011,20221107,1
C27963AHCKMK-011,20221108,1
C27963AHCKMK-011,20221109,1
C27963AHCKMK-011,20221110,1
C27963AHCKMK-011,20221114,1
C27963AHCKMK-011,20221115,1
C27963AHCKMK-011,20221116,1
C27963AHCKMK-011,20221117,1
C27963AHCKMK-011,20221121,1
C27963AHCKMK-011,20221122,1
C27963AHCKMK-011,20221123,1
C27963AHCKMK-011,20221124,1
C27963AHCKMK-011,20221128,1
C27963AHCKMK-011,20221129,1
C27963AHCKMK-011,20221130,1
C27963AHCKMK-011,20221201,1
C27964APPKMK-011,20221104,1
C27964APPKMK-011,20221111,1
C27964APPKMK-011,20221118,1
C27964APPKMK-011,20221125,1
C27965ASZKMK-011,20221031,1
C27965ASZKMK-011,20221105,1
C27965ASZKMK-011,20221112,1
C27965ASZKMK-011,20221119,1
C27965ASZKMK-011,20221126,1
C27966AVVKMK-011,20221030,1
C27966AVVKMK-011,20221101,1
C27966AVVKMK-011,20221106,1
C27966AVVKMK-011,20221113,1
C27966AVVKMK-011,20221120,1
C27966AVVKMK-011,20221127,1
C28196AVVFS-0071,20221030,1
C28196AVVFS-0071,20221101,1
C28196AVVFS-0071,20221106,1
C28196AVVFS-0071,20221113,1
C28196AVVFS-0071,20221120,1
C28196AVVFS-0071,20221127,1
C31935AVVKZ-0031,20221030,1
C31935AVVKZ-0031,20221101,1
C31935AVVKZ-0031,20221106,1
C31935AVVKZ-0031,20221113,1
C31935AVVKZ-0031,20221120,1
C31935AVVKZ-0031,20221127,1
C33818AHPYM-0011,20221102,1
C33818AHPYM-0011,20221103,1
C33818AHPYM-0011,20221104,1
C33818AHPYM-0011,20221107,1
C33818AHPYM-0011,20221108,1
C33818AHPYM-0011,20221109,1
C33818AHPYM-0011,20221110,1
C33818AHPYM-0011,20221111,1
C33818AHPYM-0011,20221114,1
C33818AHPYM-0011,20221115,1
C33818AHPYM-0011,20221116,1
C33818AHPYM-0011,20221117,1
C33818AHPYM-0011,20221118,1
C33818AHPYM-0011,20221121,1
C33818AHPYM-0011,20221122,1
C33818AHPYM-0011,20221123,1
C33818AHPYM-0011,20221124,1
C33818AHPYM-0011,20221125,1
