StopName_A,StopName_B,Location_A,Location_B,StopID_A,StopID_B,Route_A,Route_B,RouteColor_A,RouteColor_B
Örs vezér tere,Örs vezér tere,"(47.502111, 19.135697)","(47.504287, 19.136192)",008029,F01756,67,907,009EE3,000000
Örs vezér tere,Örs vezér tere,"(47.502111, 19.135697)","(47.502506, 19.136269)",008029,F01752,67,931A,009EE3,000000
Örs vezér tere,Örs vezér tere,"(47.502111, 19.135697)","(47.503216, 19.137571)",008029,008942,67,931,009EE3,000000
Örs vezér tere,Örs vezér tere,"(47.502111, 19.135697)","(47.504287, 19.136192)",008029,F01756,67,931,009EE3,000000
Örs vezér tere,Örs vezér tere,"(47.502111, 19.135697)","(47.502506, 19.136269)",008029,F01752,67,M2,009EE3,009EE3
Örs vezér tere,Örs vezér tere,"(47.502111, 19.135697)","(47.503245, 19.135293)",008029,009318,67,M2,009EE3,009EE3
Örs vezér tere,Örs vezér tere,"(47.502111, 19.135697)","(47.503585, 19.137192)",008029,009506,67,H8,009EE3,ED6E86
Örs vezér tere,Örs vezér tere,"(47.502111, 19.135697)","(47.503585, 19.137192)",008029,F01792,67,H8,009EE3,ED6E86
Örs vezér tere,Örs vezér tere,"(47.502111, 19.135697)","(47.503585, 19.137192)",008029,009506,67,H9,009EE3,ED6E86
Örs vezér tere,Örs vezér tere,"(47.502111, 19.135697)","(47.503585, 19.137192)",008029,F01792,67,H9,009EE3,ED6E86
Örs vezér tere,Örs vezér tere,"(47.50326, 19.137956)","(47.504098, 19.136457)",009322,F01757,67,69,009EE3,FFD800
Örs vezér tere,Örs vezér tere,"(47.50326, 19.137956)","(47.504287, 19.136192)",009322,F01756,67,908,009EE3,000000
Örs vezér tere,Örs vezér tere,"(47.50326, 19.137956)","(47.504287, 19.136192)",009322,F01756,67,956,009EE3,000000
Örs vezér tere,Örs vezér tere,"(47.50326, 19.137956)","(47.504008, 19.136656)",009322,F02764,67,80,009EE3,E41F18
Örs vezér tere,Örs vezér tere,"(47.50326, 19.137956)","(47.505123, 19.136353)",009322,F02758,67,82,009EE3,E41F18
Örs vezér tere,Örs vezér tere,"(47.50326, 19.137956)","(47.505315, 19.136268)",009322,102825,67,82,009EE3,E41F18
Örs vezér tere,Örs vezér tere,"(47.50326, 19.137956)","(47.505123, 19.136353)",009322,F02758,67,82A,009EE3,E41F18
Örs vezér tere,Örs vezér tere,"(47.50326, 19.137956)","(47.505315, 19.136268)",009322,102825,67,82A,009EE3,E41F18
Örs vezér tere,Örs vezér tere,"(47.50326, 19.137956)","(47.504287, 19.136192)",009322,F01756,67,990,009EE3,000000
Örs vezér tere,Örs vezér tere,"(47.50326, 19.137956)","(47.504008, 19.136656)",009322,F02764,67,81,009EE3,E41F18
Örs vezér tere,Örs vezér tere,"(47.50326, 19.137956)","(47.505315, 19.136268)",009322,102825,67,80,009EE3,E41F18
Örs vezér tere,Örs vezér tere,"(47.50326, 19.137956)","(47.504287, 19.136192)",009322,F01756,67,907,009EE3,000000
Örs vezér tere,Örs vezér tere,"(47.50326, 19.137956)","(47.504287, 19.136192)",009322,F01756,67,931,009EE3,000000
Örs vezér tere,Örs vezér tere,"(47.50326, 19.137956)","(47.503585, 19.137192)",009322,009506,67,H8,009EE3,ED6E86
Örs vezér tere,Örs vezér tere,"(47.50326, 19.137956)","(47.503585, 19.137192)",009322,F01792,67,H8,009EE3,ED6E86
Örs vezér tere,Örs vezér tere,"(47.50326, 19.137956)","(47.503585, 19.137192)",009322,009506,67,H9,009EE3,ED6E86
Örs vezér tere,Örs vezér tere,"(47.50326, 19.137956)","(47.503585, 19.137192)",009322,F01792,67,H9,009EE3,ED6E86
Rákosfalva,Rákosfalva,"(47.504662, 19.150966)","(47.505183, 19.152115)",F01791,F01820,67,H8,009EE3,ED6E86
Rákosfalva,Rákosfalva,"(47.504662, 19.150966)","(47.50495, 19.150641)",F01791,F01821,67,H8,009EE3,ED6E86
Rákosfalva,Rákosfalva,"(47.504662, 19.150966)","(47.505183, 19.152115)",F01791,F01820,67,H9,009EE3,ED6E86
Rákosfalva,Rákosfalva,"(47.504662, 19.150966)","(47.50495, 19.150641)",F01791,F01821,67,H9,009EE3,ED6E86
Kelenföld vasútállomás,Kelenföld vasútállomás,"(47.464634, 19.018494)","(47.464751, 19.017791)",061277,061278,40,8E,009EE3,009EE3
Kelenföld vasútállomás,Kelenföld vasútállomás,"(47.464634, 19.018494)","(47.464743, 19.023003)",061277,093021,40,58,009EE3,009EE3
Kelenföld vasútállomás,Kelenföld vasútállomás,"(47.464634, 19.018494)","(47.465166, 19.022619)",061277,F02210,40,918,009EE3,000000
